Country,Region,SurfaceArea,Population,PopDensity,SexRatio,GDP,GDPGrowth,GDPperCapita,PercentAgriculture,PercentIndustry,PercentServices,EmployAgriculture,EmployIndustry,EmployServices,Unemployment,LabourForceGenderRatio,AgProductionIndex,FoodProductionIndex,InternationalExports,InternationaImports,InternationalTradeBalance,BalanceOfPayments,PopGrowthRate,UrbanPop,UrbanPopGrowth,FertilityRate,LifeExpectancyGndrRatio,PopAgeDist,InterMigrantStock,Refugees,InfantMortRate,HealthExpend,Physicians,EduExpend,EduEnrollment,EduSecondaryEnrollment,EduTertiaryEnrollRatio,WomenInParliament,MobileCellSubscriptions,OnInternet,ThreatenedSpecies,PercentForest,CO2PerCapita,EnergyProduction,EnergyPerCapita
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,0.23,125,125,1458,3568,-2110,-5121,3.2,26.7,4,5.3,1.040983607,10.53658537,318.6666667,1513.1,68.6,8.2,0.3,3.3,0.69224924,0.561527581,0.278195489,27.7,61.6,42,2.1,32.66666667,63,5,1.663829787
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,0.659016393,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,1.056878307,0.915789474,28.8,8.8,14.6,5.9,1.3,3.5,0.967099567,0.936234818,1.39835729,22.9,106.4,130,28.2,2.85,84,36,0.996848739
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,0.240452617,160,161,29992,47091,-17099,-27229,2,70.7,2.8,3,1.032388664,3.117021277,404,99.8,27.7,7.2,NA,NA,0.943096234,1.036697248,1.560553633,31.6,113,135,0.8,39.2972973,5900,55,1.030562347
American Samoa,Polynesia,199,56,278.2,103.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112,NA,NA,NA,NA,0,87.2,-0.1,2.6,1.094233474,3.7,0.555023923,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,92,87.9,NA,NA,NA,1
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,NA,NA,NA,NA,NA,NA,NA,100,1355,-1255,NA,-1.6,85.1,0.1,1.2,NA,0.757894737,0.70519263,NA,NA,8.1,3.7,3.3,NA,NA,NA,32.1,88.1,13,34,0.078125,1,119,1
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,0.775616083,175,176,21011,8790,12221,-10273,3.5,44.1,5,6,1.097560976,11.7,267,45.7,65.4,3.3,NA,NA,0.639898024,0.646723647,0.788461538,38.2,60.8,146,46.5,24.85714286,3902,25,2.673758865
Anguilla,Caribbean,91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82,NA,NA,NA,NA,NA,NA,NA,2,154,-153,-48,1.2,100,1.2,NA,NA,3.065789474,0.147058824,0,NA,NA,NA,NA,NA,NA,NA,NA,177.9,52,61.1,0.010204082,0,136,NA
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,NA,NA,NA,NA,NA,88,88,61,491,-429,-204,1.1,23.8,-0.9,2.1,1.066848568,2.19266055,0.918300654,0,9.1,5.5,NA,NA,0.941,1.021653543,2.059602649,11.1,137.2,55,22.3,0.086206897,NA,84,1
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,0.653225806,119,119,57733,55610,2124,-15944,1,91.8,1,2.3,1.105263158,1.616883117,434.6458333,5,13.7,4.8,3.8,5.3,0.996370236,1.066731141,1.620472441,38.9,143.9,256,10,43.40425532,3167,85,0.99
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,0.745283019,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,1.6,1.090651558,1.183431953,30.34920635,19.3,13.2,4.5,2.8,2.8,1,1.010215664,1.127403846,9.9,115.2,114,11.7,3.055555556,48,46,1
