"President","Date","Approve","Disapprove","Inaug","Days"
"Trump",2017-12-12,36,59,"1/20/17",326
"Trump",2017-12-09,36,59,"1/20/17",323
"Trump",2017-12-06,37,59,"1/20/17",320
"Trump",2017-12-03,35,60,"1/20/17",317
"Trump",2017-11-30,34,60,"1/20/17",314
"Trump",2017-11-27,37,56,"1/20/17",311
"Trump",2017-11-24,38,55,"1/20/17",308
"Trump",2017-11-20,36,57,"1/20/17",304
"Trump",2017-11-17,39,56,"1/20/17",301
"Trump",2017-11-14,37,57,"1/20/17",298
"Trump",2017-11-11,39,55,"1/20/17",295
"Trump",2017-11-08,37,57,"1/20/17",292
"Trump",2017-11-05,37,57,"1/20/17",289
"Trump",2017-11-02,39,57,"1/20/17",286
"Trump",2017-10-30,34,62,"1/20/17",283
"Trump",2017-10-27,36,59,"1/20/17",280
"Trump",2017-10-24,36,59,"1/20/17",277
"Trump",2017-10-21,36,58,"1/20/17",274
"Trump",2017-10-18,36,59,"1/20/17",271
"Trump",2017-10-15,36,59,"1/20/17",268
"Trump",2017-10-12,39,54,"1/20/17",265
"Trump",2017-10-09,36,58,"1/20/17",262
"Trump",2017-10-06,39,56,"1/20/17",259
"Trump",2017-10-03,39,57,"1/20/17",256
"Trump",2017-09-30,38,57,"1/20/17",253
"Trump",2017-09-27,36,59,"1/20/17",250
"Trump",2017-09-24,39,54,"1/20/17",247
"Trump",2017-09-21,38,56,"1/20/17",244
"Trump",2017-09-18,39,55,"1/20/17",241
"Trump",2017-09-15,36,59,"1/20/17",238
"Trump",2017-09-12,37,57,"1/20/17",235
"Trump",2017-09-09,38,56,"1/20/17",232
"Trump",2017-09-06,36,57,"1/20/17",229
"Trump",2017-09-03,38,56,"1/20/17",226
"Trump",2017-08-31,34,61,"1/20/17",223
"Trump",2017-08-28,35,60,"1/20/17",220
"Trump",2017-08-25,35,60,"1/20/17",217
"Trump",2017-08-22,35,59,"1/20/17",214
"Trump",2017-08-19,36,58,"1/20/17",211
"Trump",2017-08-16,37,57,"1/20/17",208
"Trump",2017-08-13,34,61,"1/20/17",205
"Trump",2017-08-10,37,56,"1/20/17",202
"Trump",2017-08-07,37,59,"1/20/17",199
"Trump",2017-08-04,37,55,"1/20/17",196
"Trump",2017-08-01,36,60,"1/20/17",193
"Trump",2017-07-29,38,57,"1/20/17",190
"Trump",2017-07-26,39,55,"1/20/17",187
"Trump",2017-07-23,37,58,"1/20/17",184
"Trump",2017-07-20,37,58,"1/20/17",181
"Trump",2017-07-17,38,56,"1/20/17",178
"Trump",2017-07-14,38,57,"1/20/17",175
"Trump",2017-07-10,40,55,"1/20/17",171
"Trump",2017-07-07,38,56,"1/20/17",168
"Trump",2017-07-03,37,57,"1/20/17",164
"Trump",2017-06-30,38,57,"1/20/17",161
"Trump",2017-06-27,39,56,"1/20/17",158
"Trump",2017-06-24,38,57,"1/20/17",155
"Trump",2017-06-21,39,56,"1/20/17",152
"Trump",2017-06-18,38,56,"1/20/17",149
"Trump",2017-06-15,38,57,"1/20/17",146
"Trump",2017-06-12,36,60,"1/20/17",143
"Trump",2017-06-09,39,56,"1/20/17",140
"Trump",2017-06-06,38,57,"1/20/17",137
"Trump",2017-06-03,36,58,"1/20/17",134
"Trump",2017-05-31,40,54,"1/20/17",131
"Trump",2017-05-28,42,53,"1/20/17",128
"Trump",2017-05-25,41,54,"1/20/17",125
"Trump",2017-05-22,38,56,"1/20/17",122
"Trump",2017-05-19,37,56,"1/20/17",119
"Trump",2017-05-16,38,57,"1/20/17",116
"Trump",2017-05-13,39,56,"1/20/17",113
"Trump",2017-05-10,38,55,"1/20/17",110
"Trump",2017-05-07,42,53,"1/20/17",107
"Trump",2017-05-04,42,52,"1/20/17",104
"Trump",2017-05-01,42,54,"1/20/17",101
"Trump",2017-04-28,43,51,"1/20/17",98
"Trump",2017-04-25,39,56,"1/20/17",95
"Trump",2017-04-22,40,54,"1/20/17",92
"Trump",2017-04-19,43,50,"1/20/17",89
"Trump",2017-04-15,41,53,"1/20/17",85
"Trump",2017-04-12,40,54,"1/20/17",82
"Trump",2017-04-09,40,53,"1/20/17",79
"Trump",2017-04-06,40,54,"1/20/17",76
"Trump",2017-04-03,39,55,"1/20/17",73
"Trump",2017-03-31,40,56,"1/20/17",70
"Trump",2017-03-28,35,59,"1/20/17",67
"Trump",2017-03-25,40,54,"1/20/17",64
"Trump",2017-03-22,39,56,"1/20/17",61
"Trump",2017-03-19,39,55,"1/20/17",58
"Trump",2017-03-16,41,54,"1/20/17",55
"Trump",2017-03-13,39,55,"1/20/17",52
"Trump",2017-03-10,44,49,"1/20/17",49
"Trump",2017-03-07,42,53,"1/20/17",46
"Trump",2017-03-04,43,50,"1/20/17",43
"Trump",2017-03-01,43,51,"1/20/17",40
"Trump",2017-02-26,42,54,"1/20/17",37
"Trump",2017-02-23,43,52,"1/20/17",34
"Trump",2017-02-20,41,53,"1/20/17",31
"Trump",2017-02-17,40,55,"1/20/17",28
"Trump",2017-02-14,40,53,"1/20/17",25
"Trump",2017-02-11,40,55,"1/20/17",22
"Trump",2017-02-08,43,52,"1/20/17",19
"Trump",2017-02-05,42,52,"1/20/17",16
"Trump",2017-02-02,43,52,"1/20/17",13
